Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
17:41:20,952;381,136257;0,111503;0,130412;0,170169;0,037089;-2,414576;-0,116438;24,12972
17:41:20,962;382,550699;0,111503;0,127261;0,16925;-0,264812;-2,66395;-0,33957;24,142847
17:41:20,972;383,493661;0,109402;0,124111;0,171087;-0,028542;-2,453951;-0,037685;24,064083
17:41:20,982;381,136257;0,121478;0,127787;0,16925;-0,304191;-2,624575;-0,378947;24,064083
17:41:20,992;383,02218;0,108352;0,119386;0,175681;-0,002289;-2,480201;-0,02456;24,064083
17:41:21,002;381,136257;0,110977;0,125161;0,162819;-0,356695;-2,742699;-0,405198;24,024701
17:41:21,012;380,664776;0,109927;0,119911;0,171087;-0,015416;-2,335827;-0,011435;24,116592
17:41:21,022;384,908103;0,113078;0,125686;0,167413;-0,264812;-2,66395;-0,378947;24,103465
17:41:21,032;383,493661;0,110452;0,122011;0,171087;0,010837;-2,440826;0,027942;24,142847
17:41:21,042;384,436622;0,108352;0,115711;0,167413;-0,343569;-2,742699;-0,444574;24,07721
17:41:21,052;383,493661;0,119378;0,125161;0,166494;-0,002289;-2,362077;0,041067;24,037828
17:41:21,062;384,908103;0,107827;0,123586;0,170169;-0,343569;-2,624575;-0,457699;24,064083
17:41:21,072;382,550699;0,108877;0,120436;0,165575;0,010837;-2,427701;-0,050811;24,12972
17:41:21,082;383,02218;0,106252;0,118861;0,167413;-0,330443;-2,55895;-0,365821;24,142847
17:41:21,092;384,436622;0,114653;0,128837;0,165575;-0,002289;-2,440826;-0,063936;24,07721
17:41:21,102;384,908103;0,107827;0,119386;0,166494;-0,343569;-2,6377;-0,300194;24,103465
17:41:21,112;383,493661;0,112553;0,125686;0,171087;-0,015416;-2,480201;-0,103313;24,090338
17:41:21,122;383,965142;0,108352;0,119386;0,167413;-0,343569;-2,66395;-0,352696;24,050956
17:41:21,132;384,436622;0,107827;0,118861;0,170169;-0,015416;-2,506451;-0,090187;24,07721
17:41:21,142;383,493661;0,108352;0,123586;0,165575;-0,317317;-2,742699;-0,418323;24,116592
17:41:21,152;383,02218;0,115703;0,126211;0,172925;-0,015416;-2,388327;-0,077062;24,064083
17:41:21,162;380,664776;0,108352;0,128312;0,168331;-0,304191;-2,677075;-0,418323;24,116592
17:41:21,172;383,493661;0,107827;0,120436;0,171087;-0,015416;-2,453951;-0,037685;24,050956
17:41:21,182;384,436622;0,112028;0,123061;0,170169;-0,317317;-2,729574;-0,418323;24,090338
17:41:21,192;384,436622;0,118853;0,130937;0,168331;-0,002289;-2,335827;-0,050811;24,011574
17:41:21,202;383,965142;0,109402;0,125686;0,167413;-0,330443;-2,624575;-0,457699;24,024701
17:41:21,212;384,908103;0,110452;0,126211;0,167413;0,010837;-2,467076;0,001691;24,103465
17:41:21,222;384,908103;0,105202;0,121486;0,16925;-0,356695;-2,5852;-0,457699;24,050956
17:41:21,232;385,379584;0,107827;0,125161;0,166494;-0,015416;-2,335827;-0,011435;24,142847
17:41:21,242;385,379584;0,106777;0,119911;0,168331;-0,317317;-2,5852;-0,392072;24,064083
17:41:21,252;385,851065;0,105202;0,123061;0,163738;0,010837;-2,532701;-0,077062;24,064083
17:41:21,262;383,965142;0,107302;0,116236;0,170169;-0,356695;-2,66395;-0,405198;24,155974
17:41:21,272;386,322546;0,107827;0,118336;0,171087;-0,041668;-2,480201;-0,077062;24,07721
17:41:21,282;385,379584;0,105202;0,118336;0,165575;-0,343569;-2,795199;-0,405198;24,142847
17:41:21,292;383,02218;0,106777;0,125161;0,168331;-0,002289;-2,388327;-0,063936;24,050956
17:41:21,302;383,965142;0,110977;0,123586;0,166494;-0,356695;-2,624575;-0,378947;24,07721
17:41:21,312;385,379584;0,119903;0,127787;0,168331;-0,015416;-2,322702;-0,02456;24,103465
17:41:21,322;386,794027;0,112028;0,125161;0,168331;-0,277938;-2,742699;-0,405198;24,12972
17:41:21,332;388,67995;0,110977;0,120961;0,167413;-0,015416;-2,388327;-0,103313;24,037828
17:41:21,342;385,851065;0,107302;0,122536;0,163738;-0,277938;-2,6377;-0,405198;24,090338
17:41:21,352;390,094392;0,106252;0,121486;0,170169;-0,015416;-2,453951;-0,090187;24,116592
17:41:21,362;385,379584;0,108352;0,119911;0,171087;-0,356695;-2,703324;-0,470825;24,064083
17:41:21,372;384,908103;0,114128;0,125686;0,16925;-0,015416;-2,257078;-0,037685;24,024701
17:41:21,382;383,493661;0,119903;0,126736;0,171087;-0,356695;-2,768949;-0,431448;24,12972
17:41:21,392;386,322546;0,107827;0,123061;0,172925;-0,015416;-2,375202;-0,063936;24,07721
17:41:21,402;385,379584;0,114653;0,127261;0,172925;-0,356695;-2,755824;-0,405198;24,050956
17:41:21,412;394,809201;0,110452;0,124111;0,167413;-0,015416;-2,335827;-0,050811;24,07721
17:41:21,422;384,436622;0,111503;0,124111;0,16925;-0,330443;-2,716449;-0,352696;24,07721
17:41:21,432;385,379584;0,108352;0,124636;0,171087;-0,015416;-2,61145;-0,16894;24,090338
17:41:21,442;381,607737;0,107827;0,127261;0,166494;-0,317317;-2,598325;-0,378947;24,142847
17:41:21,452;387,265507;0,119378;0,126211;0,172006;-0,054794;-2,322702;-0,037685;24,090338
17:41:21,462;385,851065;0,106252;0,120961;0,168331;-0,330443;-2,742699;-0,457699;24,103465
17:41:21,472;387,736988;0,107302;0,119911;0,171087;-0,015416;-2,401452;-0,090187;24,116592
17:41:21,482;384,436622;0,104152;0,124111;0,168331;-0,304191;-2,703324;-0,405198;24,037828
17:41:21,492;385,851065;0,108352;0,11466;0,166494;0,010837;-2,480201;-0,116438;24,090338
17:41:21,502;385,379584;0,109927;0,119911;0,16925;-0,343569;-2,834573;-0,365821;24,011574
17:41:21,512;389,151431;0,112028;0,126211;0,167413;0,010837;-2,375202;-0,077062;24,103465
17:41:21,522;389,622912;0,113078;0,127787;0,171087;-0,356695;-2,677075;-0,444574;24,037828
17:41:21,532;384,908103;0,108877;0,120961;0,164656;-0,041668;-2,440826;-0,103313;24,07721
17:41:21,542;385,851065;0,105202;0,118861;0,16925;-0,330443;-2,782074;-0,497076;24,12972
17:41:21,552;389,151431;0,112028;0,120961;0,16925;0,010837;-2,335827;-0,063936;23,998446
17:41:21,562;386,322546;0,110452;0,128312;0,167413;-0,343569;-2,742699;-0,444574;24,12972
17:41:21,572;387,265507;0,114128;0,122536;0,165575;0,023963;-2,55895;-0,208316;24,116592
